ID,Name,latitude,longitude,family
408,Tai Khün,21,100,Tai-Kadai
409,Shan,22,98,Tai-Kadai
411,Nung-Fengshan,21.9166666667,106.416666667,Tai-Kadai
412,Nung-Lazhai,21.9166666667,106.416666667,Tai-Kadai
413,Nung-Ninbei,21.9166666667,106.416666667,Tai-Kadai
414,Zhuang-Longzhou,24,108,Tai-Kadai
415,Sui,26,107.5,Tai-Kadai
417,Mulam,25,108,Tai-Kadai
420,Lakkia,24.0833333333,110.166666667,Tai-Kadai
421,Hlai (Baoting variety),19,109.5,Tai-Kadai
424,Sanchong Kelao,22.9166666667,105.5,Tai-Kadai
425,Qau Kelao,22.9166666667,105.5,Tai-Kadai
516,Ingush,43.1666666667,45.0833333333,Nakh-Daghestanian
518,Kryz,41.0833333333,48,Nakh-Daghestanian
533,Tsova-Tush,42.5,45.5,Nakh-Daghestanian
701,Bengali,24,90,Indo-European
702,Hindi,25,77,Indo-European
705,Marathi,19,76,Indo-European
706,Nepali,28,85,Indo-European
707,Punjabi,31,74,Indo-European
708,Tamil,11,78.5,Dravidian
709,Telugu,16,79,Dravidian
710,Tibetan,30,91,Sino-Tibetan
816,Vietnamese,10.5,106.5,Austro-Asiatic
37,Botlikh,42.665,46.22,Nakh-Daghestanian
74,Judeo-Tat,42.068306,48.264749,Indo-European
217,Negerhollands,18.3416,-64.8922,Indo-European
221,Polci,10.0258,9.53362,Afro-Asiatic
250,Yuwana,5.63879,-65.4267,Jodi-Saliban
265,Trinitario,-15.3331,-65.4096,Arawakan
268,Yavitero,2.800281,-68.084219,Arawakan
278,Catuquina,-7.97456,-71.56151,Panoan
280,Pacahuara,-11.9968,-65.5568,Panoan
298,Sanapaná (Angaité dialect),NA,NA,Bookkeeping
299,Sanapaná (Enlhet dialect),-22.11454,-58.90698,Bookkeeping
402,Southern Tai (Songkhla variety),6.85668,99.7031,Tai-Kadai
403,Thai (Korat variety),6.85668,99.7031,Tai-Kadai
404,Khamuang (Chiang Mai variety),18.857495,100.20739,Tai-Kadai
405,Dehong,21.7837,99.722,Tai-Kadai
416,Maonan,25.0169,108.024,Tai-Kadai
418,Chadong,25.23532,109.96041,Tai-Kadai
422,Langja Buyang,23.0105,104.449,Tai-Kadai
423,Ecun Buyang,23.0105,104.449,Tai-Kadai
704,Mahasu Pahari (Kotghari dialect),31.0088,77.5317,Indo-European
